Categoria administrativa:Despesa pessoal:Receitas:Despesa interna
Pública Federal:19.918870028614265:20.565646403889794:19.823873164835423
Pública Federal:20.262601717585248:20.680229822009515:19.605508509707455
Pública Federal:20.053678458887262:20.641859211844398:19.83142138739899
Pública Federal:20.005317864777457:20.64756226515421:19.90078158921089
Privada sem fins lucrativos:17.70326600841726:18.417949119561268:17.93532489558553
Privada sem fins lucrativos:17.70911307595674:18.47256782249021:17.911615111659035
Privada sem fins lucrativos:17.619001877551938:18.54451427509952:17.678545178448548
Privada sem fins lucrativos:17.661038337262294:18.59468024252997:18.04329378372002
Privada sem fins lucrativos:19.04865324480211:19.577131937740372:18.753524692432553
Privada sem fins lucrativos:19.12319936640595:19.634170816680392:18.810172624807787
Privada sem fins lucrativos:19.13571419867452:19.628184957785315:18.770951294403826
Privada sem fins lucrativos:19.193182226920076:19.56744583295482:18.69956237206525
Privada sem fins lucrativos:19.21652536189785:19.940073126111127:19.161724142707268
Privada sem fins lucrativos:19.30601827888519:19.963450372636373:19.32256159973941
Privada sem fins lucrativos:19.296210179339102:20.003261024692172:19.351863679801507
Privada sem fins lucrativos:19.208771848298543:19.933304731177532:19.24766312723812
Privada sem fins lucrativos:18.86391763782018:19.051621620308016:17.576172304809845
Privada sem fins lucrativos:18.825099664196802:18.963713080275273:17.449630760034864
Privada sem fins lucrativos:18.64369524790032:18.766261108499997:17.35960110648155
Privada sem fins lucrativos:18.379382019251835:18.593700523794098:17.583975711570183
Privada sem fins lucrativos:18.188585924305787:18.871722560193493:18.061767897777358
Privada sem fins lucrativos:18.267423335039823:18.96331723603784:18.16310674681227
Privada sem fins lucrativos:18.34508117838762:18.970454855360096:18.063812509905734
Privada sem fins lucrativos:18.295026315003824:18.986838509271127:18.15452643734018
Privada sem fins lucrativos:17.88531172440429:18.401407955045034:17.247154502707865
Privada sem fins lucrativos:18.136606401409775:18.626981014750587:17.647891355474815
Privada sem fins lucrativos:18.18414323130103:18.694368885320973:17.759649373894323
Privada sem fins lucrativos:18.239215463569103:18.752269120491718:17.757962239999067
Privada sem fins lucrativos:19.544897588743588:19.997539022674864:18.968427300074946
Privada sem fins lucrativos:19.559133595998702:20.058115349422913:19.001629289170264
Privada sem fins lucrativos:19.65981946203427:20.054798086860686:18.904744300678484
Privada sem fins lucrativos:19.615685655553616:20.075212465024215:18.8712440445201
Privada sem fins lucrativos:16.011319801966405:17.507136090650736:15.313036286020067
Privada sem fins lucrativos:16.28860755247626:15.759278030269266:15.526027755051159
Privada sem fins lucrativos:16.31462645570424:15.709781856693859:15.45378172211314
Privada sem fins lucrativos:16.256164621064304:15.741994330932043:15.426239488675533
Pública Federal:18.230781733150096:18.411281294408223:16.610361717308532
Pública Federal:18.279601952316682:18.498835824439695:16.873604522579495
Pública Federal:18.278996474074066:18.424988885868036:16.37505184119559
Pública Federal:18.295019410948967:18.460976133952798:16.522458202140587
Privada sem fins lucrativos:17.249582690778393:17.903413940254758:17.136985156188345
Privada sem fins lucrativos:17.367204976163293:17.930803555826063:17.088791528684016
Privada sem fins lucrativos:15.016685884996843:15.62055775303925:14.829376887100342
Privada sem fins lucrativos:15.277397649510023:15.648108255180821:14.476138947635421
Privada sem fins lucrativos:13.09704956941204:13.599215651055122:12.66979335978705
Privada sem fins lucrativos:12.018598315975249:11.76704413546382:11.429068851930241
Privada sem fins lucrativos:9.777829086930108:10.036729590801716:9.163498209219382
Privada sem fins lucrativos:17.506375530631022:18.027583556278156:17.126667068896616
Privada sem fins lucrativos:17.48680198274373:18.070730453619838:17.254956467219408
Privada com fins lucrativos:15.69509143449103:17.080508898656603:16.391192179636384
Privada sem fins lucrativos:15.79472262404558:16.886583055673256:15.9976740071101
Privada com fins lucrativos:15.900533027255843:16.86494637619254:16.087049479491377
Privada sem fins lucrativos:15.903096032615851:16.913574321857276:16.081935861036104
Privada com fins lucrativos:16.376067035457005:17.046956901755195:15.84882350049103
Privada com fins lucrativos:16.391581169011396:17.19169658075019:16.31758954225799
Privada com fins lucrativos:16.310037099528014:17.126724364939108:16.42806407180406
Privada com fins lucrativos:16.315009204010188:17.15606560444478:15.579746735925315
Privada com fins lucrativos:16.476210557652877:17.89523543819424:16.188861616251643
Privada com fins lucrativos:15.351947577513885:16.570068956449724:15.146318635866027
Privada com fins lucrativos:19.470382861250467:18.35363240919924:19.005574339072055
Privada com fins lucrativos:18.945513416044143:19.75193472062949:20.286170527662602
Privada sem fins lucrativos:19.261991701850153:19.982253522210836:19.334038723950773
Privada com fins lucrativos:15.960294984694274:16.95724180485449:15.11119617021341
Privada com fins lucrativos:23.406408402342436:21.39167965408568:21.586704164916338
Privada com fins lucrativos:18.801238216354346:16.78650946809759:19.28411907192229
Privada com fins lucrativos:21.199785689419944:22.471707143260925:20.99162746583275
Privada com fins lucrativos:20.433374988744472:22.137236386340554:19.088188932133324
Privada sem fins lucrativos:14.143734585728991:14.641395065962413:14.96567110851296
Privada com fins lucrativos:18.945513416044143:19.75193472062949:19.115582874735942
Privada com fins lucrativos:18.482137960242277:19.550809141388203:19.04999848525009
Privada sem fins lucrativos:16.509232301246808:17.532066200352464:16.64487509308381
Privada sem fins lucrativos:19.261991701850153:19.982253522210836:19.334038723950773
Privada sem fins lucrativos:14.76389938185792:15.133216560413729:14.854776200357227
Privada com fins lucrativos:16.790963590659885:18.139889541494092:16.385967796087275
Privada sem fins lucrativos:16.763339510462206:17.87555348383232:17.434486153893854
Privada sem fins lucrativos:16.727238577145336:17.788949208737822:17.29290624705391
Privada sem fins lucrativos:16.53661377984612:17.528047084535586:17.186256097406694
Privada com fins lucrativos:16.594615503431854:17.866536957272835:16.38645727984466
Pública Federal:20.38728392344117:20.725922896126136:19.081386405762746
Pública Federal:20.525679949080118:21.111205815674:20.159659696566287
Pública Federal:20.519580839133937:20.88698303362323:21.016341877105422
Pública Federal:20.641900975417546:20.946690305887568:19.531635410609393
Privada sem fins lucrativos:19.023175186881538:19.60784097177414:18.792995908753053
Privada sem fins lucrativos:18.965862048345873:19.48444225239748:18.579671793267362
Privada sem fins lucrativos:19.139146178519002:19.652066069069797:18.738908536603272
Privada sem fins lucrativos:19.074631261757816:20.074287819988232:18.813415523991427
Privada sem fins lucrativos:15.542037400330216:15.952052217687669:14.427085177054227
Privada sem fins lucrativos:15.775853142292434:16.096103390283716:14.670643033164238
Privada sem fins lucrativos:15.46850086326619:15.755491593082612:14.344558537525488
Privada sem fins lucrativos:15.479364196617956:15.874417416310283:14.40162564878678
Privada sem fins lucrativos:15.058657041645112:16.032758484423184:15.173937268139811
Privada sem fins lucrativos:15.191169947718157:16.038065082961097:15.222407833907976
Privada sem fins lucrativos:15.231332143157221:15.983907776611103:14.970283222042069
Privada sem fins lucrativos:15.220391049394896:15.795697756092059:15.031389360766342
Pública Federal:18.56602453314231:19.151000478542027:18.43290141523516
Pública Federal:18.708977538748645:19.036911722268904:18.20009732794333
Pública Federal:18.799104003695398:19.19027526025219:18.364774600188962
Pública Federal:18.84686555126671:19.222574211472235:18.36382397176694
Pública Federal:21.355267916775517:19.459370116592606:20.393170766346273
Pública Federal:21.469797611860937:19.05504440720674:20.29712197901108
Pública Federal:21.506140010068666:19.048407180250337:20.349544807409657
Pública Federal:20.84657750793055:18.889163326367658:20.39145950775336
Pública Federal:19.38208447833525:19.828430914178675:18.806891935519065
Pública Federal:19.47617734797111:19.91684633886997:18.88512873216408
Pública Federal:19.488144179618633:20.011873885549534:19.114632287725467
Pública Federal:19.410524381527928:20.098871858459:19.40090182604064
Privada sem fins lucrativos:19.647140180760797:20.24235887592331:19.440641690373983
Privada sem fins lucrativos:19.56904031616055:20.2599786741533:19.564617781326554
Privada sem fins lucrativos:19.596068227043727:20.278503191664075:19.574527799906722
Privada sem fins lucrativos:19.66237749314028:20.31081382127192:19.570862782952226
Privada sem fins lucrativos:19.110866308253147:19.680958658658383:18.863588562426315
Privada sem fins lucrativos:19.118391407068334:19.707439564977904:18.771861015398926
Privada sem fins lucrativos:19.124665955104838:19.68852490315995:18.813508664570055
Privada sem fins lucrativos:19.094722640468795:19.647895723219193:18.783565349910543
Privada sem fins lucrativos:19.179615683776905:20.051630244146136:18.667473780574174
Privada sem fins lucrativos:19.200495803346538:20.205297014509092:18.755041359813756
Privada sem fins lucrativos:19.227635869955826:20.09189794496564:18.785109841584937
Privada sem fins lucrativos:19.180021074433856:20.089490650227248:18.87781966404208
Privada sem fins lucrativos:19.563392141164012:20.238619460458068:19.597380933056556
Privada sem fins lucrativos:19.607723321703055:20.275609652193236:19.55195630524278
Privada sem fins lucrativos:19.511926883335068:20.287307215012504:19.612817875294844
Privada sem fins lucrativos:19.594054458845623:20.37000491004241:19.673894179543623
Privada sem fins lucrativos:16.2543406343379:16.130589557050804:15.599053623135541
Privada sem fins lucrativos:16.096528781962565:16.206323772996708:15.47597018281088
Privada sem fins lucrativos:16.196848699378744:16.21900666042914:15.612829481415352
Privada sem fins lucrativos:16.025818948804798:16.752388397307342:15.706478186357971
Privada sem fins lucrativos:19.94416771499439:20.421453442597215:19.437796019649113
Privada sem fins lucrativos:20.047649809523698:20.526368754338236:19.520918945474172
Privada sem fins lucrativos:20.077626608454143:20.567503801736425:20.05413557971611
Privada sem fins lucrativos:19.676406023126866:20.424149286215055:19.855506938805824
Privada sem fins lucrativos:14.139115486129636:11.232067786612557:15.419291680890845
Privada sem fins lucrativos:14.428303856607666:11.764616666707544:15.63402666269268
Privada sem fins lucrativos:14.343234253710236:13.661785565852476:15.19960757418915
Privada sem fins lucrativos:16.365299700974663:17.559945816174903:16.554617110618516
Privada sem fins lucrativos:17.05857501517784:17.5973284913958:16.619549100382454
Privada sem fins lucrativos:16.848210131199117:17.87328880791193:17.06038815955681
Privada sem fins lucrativos:16.98180599860531:17.908555310966925:17.25406782026071
Privada sem fins lucrativos:17.137805554981828:17.856603563865427:17.298146928046148
Pública Estadual:19.291550121489838:19.35418576642435:17.533079568674037
Pública Estadual:19.303967330547447:19.39133690573555:17.770696610325857
Pública Estadual:19.332495983735797:19.148163858167145:17.812701635822908
Pública Estadual:19.457359288370824:19.122763288777943:17.939096742034447
Pública Estadual:20.422143985913962:20.521297223330563:18.699312631747805
Pública Estadual:20.422899287588358:20.464941630044894:18.642101043320466
Pública Estadual:20.410553245153537:20.62615435757569:18.945150399145746
Pública Estadual:20.360849438068172:20.584771484040157:18.83986956300294
Pública Estadual:18.95199949550537:19.087503254479174:16.672407842514055
Pública Estadual:19.059695017712567:19.165262834161947:16.732192153370686
Pública Estadual:19.060548219780582:19.18109143118957:16.98867859683072
Pública Estadual:19.048345791059305:19.166601016616443:16.971182268258318
Pública Estadual:18.801858645883538:18.88981374199622:16.41522964443416
Pública Estadual:18.792569780789666:19.63603019021851:16.652473284879846
Pública Estadual:18.828117943409463:18.936914375507627:16.664732566824355
